Statement,Label
The commercial property tax [in Providence] is second highest in the country behind Detroit.,TRUE
"Barack Obama wants to ""restore"" the estate tax that George W. Bush ""repealed.""",FALSE
"Government subsidies for renewable energies such as wind and solar are 100 times greater than those given to gas and coal, and 50 times greater than what the nuclear industry enjoys.",TRUE
There are more young black males involved in the criminal justice system than there are in higher education.,FALSE
"A small majority of Americans dont think they like the Affordable Care Act, but a large majority of Americans dont want to do away with the protections that are in the Affordable Care Act.",TRUE
The Greenlight Pinellas transportation plan involves a 300% tax increase.,FALSE
Says Rick Scott signed laws requiring mandatory ultrasounds and restricting access to abortion even in cases of rape or incest.,TRUE
Says an average of $4 billion is added to the national debt every day.,TRUE
"In America, radical speech is not a crime.",TRUE
"100 percent of the crime is committed, in estimate, by about 15 percent of the population.",FALSE
Says Milwaukee County Executive Chris Abele eliminated sheriffs office funding for providing security for presidential and presidential campaign visits.,TRUE
The state has less employees this year than we did last year.,TRUE
Says one in three Texas children drop out of high school.,TRUE
"In 2016, Dallas, Texas, has fewer police officer-related shootings than any large city in America.",TRUE
PIP fraud is $1 billion in fraud.,TRUE
Some of the men serving in the (Afghan) armed forces have never driven a vehicle before.,TRUE
Our economy actually shrank during the last three months of 2012.,TRUE
Says 21 million people still suffer slavery today.,TRUE
Close to half of the folks in this country illegally entered legally (but) overstayed (their ) visas.,TRUE
Youre supposed to throw away your shoes ifmercury from a broken CFL light bulb gets on them.,FALSE
"John McCain has ""a consistent pattern of ducking important environmental votes.""",FALSE
"Iowa has the fourth fastest-growing personal income in the United States, while nationally, the real wage has decreased over the past eight years that Congressman (Bruce) Braley has been there by 2.7 percent.",FALSE
"In Tripoli, jihadists today swim in our embassy pool.",TRUE
SaysTed Cruz distributed the ad showing a nude Melania Trump on a rug.,FALSE
Says Mitt Romney supports a plan to slowly and gradually raise the retirement age of Social Security.,TRUE
"Latinos in Nevada support Educational Savings Accounts, helping more than 450,000 students access better schools. But Catherine Cortez Masto is against it.",TRUE
"Says Sen. Rob Portman says Ted Strickland earned $400,000 a year as a lobbyist after leaving Ohio for Washington.",TRUE
"Scott Walker was elected governor on a promise not to take campaign contributions from the date of his inauguration until the signing of the state budget, but broke it by taking nearly $5.6 million.",FALSE
Houston suffered $1.7 billion in operating losses under Mayor Bill White.,TRUE
"The governor won this state with 49 percent. We had some of the closest races in the House in history. So youre not dealing with this 70-30, like they want to make it.",TRUE
"U.S. Rep. Jim Marshall (D-Ga.) refuses to return $37,000 in dirty campaign contributions from U.S. Rep. Charles Rangel (D-N.Y.)",TRUE
"If you are African-American in this country today, you are likely to have a net worth of about 10 percent of what white families have.",TRUE
"Closing the tobacco loophole would save Missouri taxpayers $50,000,000",TRUE
"Says Vladimir Putin once said, The breakup of the Soviet Union was the greatest geopolitical tragedy of the 20th century.",TRUE
Says Washingtons reach extends to even telling us what kind of light bulb we can use.,FALSE
Health care premiums up 90 percent in New Hampshire.,FALSE
"House Speaker Dean Cannon says that freshmen lawmakers account for one-third of the 120-member House, and that two-thirds of the chamber have two years or less experience.",TRUE
The United States has the best health care delivery system in the world.,TRUE
"There are billions of barrels of oil beneath our oceans and in Alaska, and there is ample oil shale in the Rocky Mountain West, but Democrats ""say all this American energy is off limits.""",FALSE
"When Mitt Romney chose Paul Ryan as his vice-presidential running mate, that was the end of Romneys chances to win.",FALSE
Says Mitch McConnell pushed the Wall Street bailout through the U.S. Senate and called it the Senate at its finest.,TRUE
Congressman Scott DesJarlais is spending his one year anniversary on vacation -- only working 6 days in all of January.,FALSE
"The Democratic health care plan is a ""government takeover of nearly 20 percent of our economy.""",FALSE
41 cents out of every dollar (the U.S. spends) is borrowed from places like China.,TRUE
Tim Kaine wants to thwart right-to-work reform measures in Midwest battleground states.,FALSE
New Virginia regulations on abortion clinics provide the same sanitary environment we expect of dental offices.,FALSE
"On average, women make 77 cents for every dollar men make.",TRUE
Says Charlie Crist signed the nations harshest marijuana laws.,FALSE
We are the most generous in New England and New England is known for its generosity toward its welfare recipients.,TRUE
"I used my line-item veto authority to veto $360 million dollars in special interest spending, so that our budget this year ... is still smaller than the fiscal year 2008 and 2009 budgets signed by my predecessor.",FALSE
Our debt is already bigger than our economy.,TRUE
Were the only advanced democracy in the world that makes it harder for people to vote.,TRUE
The shutdown is projected to result in $10 billion in costs to the economy per week.,TRUE
Says he paid one dollar for a sweater at Kohls.,TRUE
Says combined inflation and unemployment rates in October 2011 were the highest since Ronald Reagan succeeded Jimmy Carter.,FALSE
"Black voter turnout in 2012 exceeded the rate of white voter turnout, even in the states with the strictest voter ID laws.",TRUE
Says Texas schools have had massive increases in class sizes with Rick Perry as governor.,FALSE
Paul Workman wants to raise the sales tax.,FALSE
Says Sen. Sherrod Brown cast the deciding vote on the government takeover of health care.,FALSE
"In New Hampshire, 93 percent of Democrats, 79 percent of Republicans, 82 percent of gun owners and 60 percent of NRA households support background checks.",TRUE
"I wanted to keep it private, because I dont think its anybodys business if I want to send money to the vets.",FALSE
Prop 56 cheats schools out of at least $600 million.,FALSE
78702 is the second-most gentrified ZIP code in the entire country.,FALSE
Between 40 and 50 percent of tax filers do not owe any income tax.,TRUE
Says Donald Trump wants to get rid of the federal minimum wage.,TRUE
Says she stopped Capital Metro from raising fares for senior and disabled citizens.,TRUE
Marco Rubios economic proposals will add $3.5 trillion to the federal deficit.,TRUE
"If West Virginia had voted for our Democratic nominee in 2000 and 2004, we wouldn't have had to put up with George Bush for the last 7 years.",TRUE
"The stimulus includes ""$219,000 to study the sex lives of female college freshmen.""",TRUE
A million Democrats deserted (Howard Deans) party and joined my party because of Donald Trump in Ohio this year.,FALSE
I have sent over $400 million to the border of Mexico in the form of Texas Ranger recon teams.,FALSE
"While introducing Donald Trump, former New York City Mayor Rudy Giuliani omitted the September 11, 2001, strikes as a successful terrorist attack during the eight years before President Obamas 2008 election.",TRUE
The very first meal on the surface of the moon was the Holy Communion.,TRUE
"He positions himself as pro environment, but he scored a zero yes, zero from the League of Conservation Voters last year.",TRUE
Harry Reid says he does more for Nevada. Hes done more for unemployment. We were at 4.4 percent. Now were at 14 percent. Hes done more for the foreclosure rate. We have the highest foreclosure rate in the nation. Hes done more for bankruptcy. We have the highest bankruptcy rate in the nation.,TRUE
"Since 2000, only 10 cases of in-person voter fraud have been proven nationally.",TRUE
"As we watch the news from Colorado with horror and sympathy for the families, we should remember that each day more than 80 Americans are killed by gunfire, unnecessary tragedies.",TRUE
Worked with Ronald Reagan and helped re-elect him.,TRUE
Says Mitt Romney flip-flopped on supporting the presidents Recovery Act.,FALSE
Says Philando Castile had been stopped by police 40 or 50 times before that fatal incident.,TRUE
On whether the state should privatize the Ohio Turnpike.,TRUE
"(The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts for millionaires and billionaires.",TRUE
"Private prisons do not chase escaped inmates past the perimeter like the public prisons do, which means more escaped prisoners in our communities.",TRUE
It cost us more to shut the government down than to keep it open.,TRUE
"Says Tim Pawlenty said in 2006, The era of small government is over... the government has to be more proactive and more aggressive.",TRUE
Says Charlie Crist rode on a jet that belongs to a serial polluter with a history of environmental violations fined nearly $2 million for polluting water.,TRUE
"I signed the largest single tax cut in the history of Florida, a $25 billion tax cut over five years, directed at property tax cuts.",FALSE
Revenues are 15 percent of GDP its still in the range of the lowest its ever been.,TRUE
So what sort of services does Romney's health care plan provide? Per the state Web site: $50 co-pay for abortions.,TRUE
Says Sen. Bernie Sanders has called President Barack Obama weak. Hes called him a disappointment.,TRUE
We (Trump University)have an A from the Better Business Bureau.,FALSE
"In New Hampshire, I spent $3 million. Jeb Bush spent $44 million. He came in five, and I came in number one.",TRUE
"The United States is number 14, number 15 in college graduation rates, and were leading the world in high school dropout rates.",TRUE
"Social Security, like I told you, is out of money. This year it is borrowing from the general treasury.",FALSE
Says Obama called Sarah Palin a pig.,FALSE
Wisconsins pension system is the only one fully funded in the country.,TRUE
"Says that under his tax plan, seniors making less than $50,000 per year won't pay any income taxes.",TRUE
This kind of snowstorm happens every 10 or 15 years.,TRUE
The Koch Brothers are spending more money than either the Democratic or Republican parties in the 2016 elections.,FALSE
"Says Jeb Bush not only opposes marriage equality, hes said he personally believes gay couples should be banned from adopting children.",TRUE
Natalyn Archibong skipped (Atlanta) City Council meetings or was late 90% of the time. Then she voted herself a pay raise.,FALSE
"Under Republican-backed state budget, the state education agency estimates expansion of Wisconsins school voucher program could cost nearly $2 billion annually",FALSE
Says abill he vetoed to give driver licenses to certain immigrants known as Dreamers would havechanged nothing.,TRUE
U.S. military uniforms are manufactured in China.,FALSE
The Bush tax cuts helped to create a substantial part of the deficit.,TRUE
We have invested record funding in protecting our environment.,FALSE
$2.4 million of the NIH dollars was spent on origami condoms.,TRUE
"Says Sen. Sherrod Brown voted to keep an extreme, job-killing Internal Revenue Service paperwork mandate.",FALSE
Half of illegal immigrants come on legal visas and then overstay.,TRUE
"Girl Scouts USAs curriculum promotes Margaret Sanger, founder of Planned Parenthood, Betty Friedan, founder of NARAL Prochoice, and other pro-abortion women as icons for our children to emulate.",FALSE
"Since 1988, Congress has raised its own salary 15 times to reflect rising costs. But raised the minimum wage only three times.",FALSE
"The Alternative Minimum Tax was never intended to hit people in middle income, upper middle income. It was meant for people who are rich and evading taxes.",TRUE
AIDS was transmitted to humans because one guy had sex with a monkey and then started having sex with men.,FALSE
Says 6 percent more Republicans across the state voted than Democrats.,TRUE
Blocking travel from countries with Ebola should be possible because President Barack Obama has sealed off Israel in the past.,FALSE
"The average homeowner spends more than $2,000 each year on energy costs more than on either real estate taxes or homeowners insurance.",TRUE
Ohioans can expect to pay up to 41 percent more for their insurance premiums when Obamacare takes effect next year.,TRUE
Georgia has had the nations busiest Court of Appeals for a decade or more.,TRUE
94 percent of those that are employed by the Department of Education at the federal level were deemed by the department as nonessential employees.,FALSE
With recent growth it is very clear that private-sector jobs have been doing fine.,FALSE
North Dakotas economy is reeling.,FALSE
Says residents of Texas and San Antonio can be fired or denied jobs because they are gay.,TRUE
Says Hillary Clinton is wrong to say he mocked a disabled reporter.,FALSE
"Says many local governments in Wisconsin already require employees to pay 20 percent, 30 percent or even 40 percent of their health insurance premiums.",FALSE
The failings in our civil service are encouraged by a system that makes it very difficult to fire someone even for gross misconduct.,TRUE
"(Mary) Burkes company, Trek Bicycles, makes 99% of their bikes overseas.",TRUE
"Says as Indiana governor, he has made record investments in education.",TRUE
President Barack Obamas spending drove us $5 trillion deeper in debt.,TRUE
"Casey Weinstein: No faith in our military ... When some of our cadets wanted to watch a religious film, Casey Weinstein sued the U.S. military. Sued our soldiers?",FALSE
"Today, the Social Security system is broke.",FALSE
Says she has quadrupled agents to secure our border.,FALSE
"Says Julie Parrish wants to add a sales tax to everything we need to buy including food, clothing, medicine and school supplies.",FALSE
Says gubernatorial candidate Clay Pell hasnt spent a dime on advertising.,FALSE
Poverty among Americans 65 and over is statistically unchanged in recent years because of Social Security.,TRUE
The Affordable Care Act is making families pay double-digit premium increases.,TRUE
"Says that over the last decade, the states population grew three times faster than the Texas state tax system.",TRUE
Many uninsured Americans are young.,TRUE
More than 50 percent of those people getting minimum wage in this state are high school students.,FALSE
"If you survey, most (North Carolina) Democrats also agree with our (election) laws and voter ID.",FALSE
Says Tom Perriello voted to give tax breaks to foreign companies creating jobs in China.,FALSE
Ted Cruz is in negotiations to be Donald Trumps running mate.,FALSE
"During a town hall meeting on health care, ""ABC didn't even allow ads that opposed the president's health care plan to be aired.""",TRUE
"Says Texas has one state inspector for every 4,500 oil and gas wells.",TRUE
The Obama administration has been raising taxes.,TRUE
"Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!",TRUE
Peter DeFazio will sneak in a 1 percent tax on all banking transactions.,FALSE
"If you threw a barbecue yesterday for the Memorial weekend, it was 29 percent more expensive than last year because Barack Obamas policies have led to groceries going up 29 percent.",FALSE
"Says Catherine Cortez Masto failed Nevada rape victims. While attorney general, thousands of rape kits were never sent for DNA analysis.",TRUE
Says President Barack Obama did not invite a Republican senator to dine at the White House until his fifth year in office.,FALSE
Says Obama was in New York City the same day as Israeli Prime Minister Benjamin Netanyahu but went on a TV show instead of meeting with him.,FALSE
A Dallas proof-of-insurance ordinance resulted in area tow lots mostly filling with the cars of illegal residents.,FALSE
The U.S. House rule barring members from wearing hats while in session dates back to the 1800s and can be waived by the speaker.,TRUE
America used to be the third easiest country to get established in a business. Its now number 17.,FALSE
"Public support for abortion is actually going down a little bit, polls show.",FALSE
"Students In Fla. High School Forced To Recite Islamic Prayer, Make Prayer Rugs.",FALSE
SaysSenate Republicans are following a longstanding tradition of not filling vacancies on the Supreme Court in the middle of a presidential election year.,FALSE
"When I took office in 2003, we had very little reserves.",FALSE
The impact of the 2010 federal health care legislation will be huge on Georgia.,TRUE
The 2015 Legislature passed the fewest laws in 20 years.,TRUE
"The Congressional Budget Office has this economic model where they measure the economy going forward, and they are now telling us that the entire economy crashes in the year 2037 because their computer simulation cant conceive of any way in which the U.S. economy can continue.",TRUE
"There are more atheists in the country right now than Jews, Muslims, Hindus and Buddhists combined and doubled.",FALSE
We have doubled the distance our cars will go on a gallon of gas.,FALSE
"When was the last time you saw a Chevrolet in Japan? It doesnt exist, folks.",FALSE
Documents released from the Soviet Union show the Soviet Union started treating President Ronald Reagan more seriously after Reagan fired the air traffic controllers.,FALSE
Says tanking Rick Perrys federal tax plan has huge tax cuts for rich people and big tax hikes for everyone else.,FALSE
Powerful Houston Democrats Sylvia Garcia (Democrat county commissioner in Harris County) and Elyse Lanie(r) (wife of the former liberal Democrat mayor Bob Lanier) sponsored a Democrat fundraiser for Speaker (Joe) Straus with numerous Democrat officials and high-ranking union officials.,FALSE
Says he cut the budget.,TRUE
Georgia has the countrys second highest number of fraudulent tax refund claims.,TRUE
Big soda has a lot of money.They make a lot of profit off their product and they market in neighborhoods that suffer from these very things that were trying to cure.,TRUE
"Says that 500,000 federal workers -- one-fourth of the federal workforce -- make more than $100,000 a year.",TRUE
Weve caught Iran cheating on the interim (nuclear) deal.,FALSE
Im the only candidate for Milwaukee County executive that has voted against increasing government pensions.,TRUE
"Were fifth in the world (in executions), behind China, Iran, Iraq and Saudi Arabia.",TRUE
McCain opposes a woman's right to choose.,TRUE
By the year 2015 (Medicaid will) take up half our budget.,FALSE
"Texas has 600,000 registered voters who dont have the kind of photo ID needed to vote.",TRUE
Says Scott Brown co-sponsored legislationto let employers deny women coverage formammograms.,FALSE
Light rail does not reduce congestion.,TRUE
Nazi imagery [was used] by the Block for Governor campaign to describe supporters of Allan Fung for Governor.,FALSE
"Elena Kagan has published five scholarly review articles, mostly on administrative law and the First Amendment. These articles were mostly on technical and procedural issues.",TRUE
"Says the Congressional Budget Office said if youre going to buy your own policy with these (health care) exchanges youll be paying 10 percent more ... about $2,100 more for a family.",FALSE
"Russian annexation of Crimea removes a million residents of the Ukraine that have provided the margin of victory for (Viktor) Yanukovych, the pro-Moscow prime minister in his last election.",TRUE
"Says a man opted out of Obamacare after the marketplace launched on Oct. 1, 2013, and was informed he owed a $4,000 fine.",FALSE
Multnomah Countys food action plan clearly plans to disrupt the free market system in terms of food choices making it harder and more expensive for many residents to eat their food of choice.,FALSE
"Says that according to a study, under Obamas health care initiative, nearly 90 percent of people in Wisconsin with health insurance will have their costs go up by more than 30 percent.",FALSE
Every single month since 1985 has been warmer than the historic average. All 12 of the warmest years on record have come in the last 15 years.,TRUE
"Four times, I said, he (John McCain)is a hero, but you know ... people choose selective pieces.",FALSE
PolitiFact Wisconsin concluded that the charge that Justice Prosser prejudges matters that come before the court is True.,FALSE
Says unemployment in Ohio is significantly higher than the unemployment rate in states which are not forced union states and its always been that way.,FALSE
The United States invented the community college. Nobody else had ever done anything like it.,TRUE
Austin mayoral candidate Mike Martinez takes corporate money.,FALSE
Corporate tax holidays pushed by Presidents John F. Kennedy and George W. Bush brought billions of dollars back into the United States.,TRUE
"Says that before health care reform, one of every three health care dollars spent -- more than $800 billion a year -- didnt go for health care.",TRUE
Says Wisconsin Assembly Republicans voted to repeal a law that ensures that women cannot get paid less than a man for doing the same job.,FALSE
"As many as 22,000 Americans die each year because they dont have health insurance.",TRUE
Milwaukee is the most segregated city in America.,TRUE
On Common Core.,FALSE
The Christian Coalition gave (Adam) Hasner an F.,TRUE
"Eighty-five percent . . . of Rhode Island tax returns that were filed for the year 2010 . . . were from individuals who earned $30,000 or less.",FALSE
Says state lawmakers have voted to spend virtually all of the Rainy Day Fund four times since the funds creation.,TRUE
The Denver Post has actually hired an editor to promote pot.,FALSE
"Says the Southwest Florida Water Management District has $850 million in reserves, enough money in savings to run without levying taxes for more than two years.",FALSE
"John McCain ""began his career in Washington as a lobbyist when he was appointed in 1976 as the Navy's liaison to the United States Senate.""",TRUE
Eliminating the state tax on health savings accounts will make it easier for small business owners to provide health insurance to their employees.,FALSE
"Since he took office as Milwaukee County executive, we have never raised bus fares and this year therell be a million route-miles more than there were five years ago.",TRUE
The ratio of corporate profits to wages is now higher than at any time since just before the Great Depression.,TRUE
"Says President Barack Obama promised he would cut the deficit in half, but instead will at least double it.",FALSE
Says Russ Feingold formed his own political group to pay himself and his staff millions.,TRUE
"Says Rob Portman voted for the bipartisan bill to affirm climate change is real, humans significantly contribute to it and it needs to be addressed.",FALSE
Says some [states] with the largest reductions in crime have also lowered their prison population.,TRUE
"Today, our unemployment rate is 7.8 percent. That is the lowest in five years.",TRUE
"Says she was the the only Democrat who voted against the Wall Street bailout.""",TRUE
California has the same water infrastructure from when we were 16 million people.,TRUE
97 percent of the work that Planned Parenthood does is about mammograms and preventative health.,TRUE
"Al Sharpton went to Ferguson, Mo., and is declaring as a matter of fact that ...Michael Brown didnt use any deadly force or posed no deadly threat to the officer.",TRUE
"Why are Muslim armies so useless against ISIS? ... There are 20,000 or 30,000 (ISIS fighters). The countries surrounding ISIS have armies totaling 5 million people.",TRUE
Says carbon monoxide is still employed to euthanize dogs and cats in 29 Texas animal shelters.,TRUE
Says Joe Kyrillos voted to raid the states pension funds by $2.8 billion that is costing New Jersey taxpayers still today to the tune of nearly $15 billion dollars to repay that money.,FALSE
"John McCain said ""he wouldn't even sit down with the government of Spain, a NATO ally that has troops in Afghanistan with us now.""",FALSE
"John McCain wants to ""give oil companies another $4-billion"" in tax breaks.",TRUE
"Under Greg Abbott, Texas four-year-olds would be forced to undergo standardized tests.",FALSE
I cut state spending more than anybody (in the 2016 GOP field).,TRUE
"Since Mr. Fosters been mayor, we have less small businesses in the city of St. Petersburg.",FALSE
"In America, we pay, by far, the highest prices in the world for prescription drugs.",TRUE
Newly Elected Republican Senators Sign Pledge to Eliminate Food Stamp Program in 2015.,FALSE
Mark Kirks claim of national security expertise is based on his military record which he lied about at least 10 times.,TRUE
The Republican Party has 21 percent party ID and shrinking.,TRUE
"I was totally against the war in Iraq, saying for many years that it would destabilize the Middle East.",FALSE
Claims that Rep. Sanford Bishop votes similar to House Speaker Nancy Pelosi are inaccurate.,FALSE
Large parts of Florida have experienced years of below average rainfall.,TRUE
"Crimea was part of Russia until 1954, when it was given to the Soviet Republic of the Ukraine.",TRUE
President Barack Obama has virtually no one in his cabinet with private-sector experience.,FALSE
Florida still averages more students in its classrooms than any other state in the Southeast.,TRUE
Florida was the only state during my eight years to go from AA to AAA in its bond rating.,FALSE
"The stimulus includes ""$7 million to build a bridge in Thedford, Nebraska, to help 168 residents avoid a 30-second wait at a local train crossing. Not one full-time job will be created.""",TRUE
Obamacare isnt helping anyone.,FALSE
Sixty-one percent of our active military are currently listed as overweight.,TRUE
Nearly one in four people in their prime working years are not working.,TRUE
"Under former President George W. Bushs administration while the population in that period grew by 10 percent, the number of jobs in the nation grew by 1 percent.",TRUE
"A little less than 50 percent of the people in this country depend on some form of federal payment, some form of government benefit to help provide for them.",TRUE
"Says Hillary Clinton couldnt bring herself to say we need to separate commercial banking and speculative banking, namely reinstating Glass-Steagall.",TRUE
A loophole still exists which allows members of Congress and high-powered executive branch appointees to exploit 'insider' knowledge of the financial industry in order to turn personal profit.,TRUE
Why do we have automatic citizenship upon birth? Were the only country in the world that has it.,FALSE
"There are approximately 20,000 annual gun purchases in Rhode Island.",TRUE
The Hollywood celebrities endorsing Hillary Clinton are in many cases celebrities that arent very hot anymore.,FALSE
"Before Congress, (Tom) Cotton got paid handsomely working for insurance companies and corporate interests.",FALSE
"It will cost $50,000 per enrollee in Obamacare over the next 10 years.",FALSE
"According to HUD, it is patently unfair and socially unjust that wealthy people can live in an exclusive neighborhood.",FALSE
"Says when he was governor,we expanded participation in Virginia in early childhood programs by nearly 40 percent.",TRUE
Members of Congress can retire with the same pay after only one term in office,FALSE
The next state budget will begin with a surplus of over half a billion dollars -- $535 million to be exact.,FALSE
A 0.05 standard for drunken driving means having a glass of wine at dinner could make a person drunk.,TRUE
"Says that since he took office, there have been no large-scale attacks on the United States.",TRUE
"Twenty two years ago, when he was running for governor, Bill Nelson missed 56 percent of his votes in the U.S. House.",TRUE
Says the University of Texas can afford to build a medical school because it has a $7 billion endowment and its football program had a $50 million profit last year.,TRUE
"Under Governor Crist, 3,000 teachers laid off.",FALSE
"Texas prosecutor Rosemary Lehmberg purchased 72 bottles of vodka in just one store alone, in just over a year.",TRUE
President Obama funneled $716 billion out of Medicare at the expense of the elderly.,FALSE
George Bush never suggested that we eliminate funding for Planned Parenthood.,TRUE
"SaysMichele Bachmann said on Fox News, This country could use a president like Benjamin Franklin again.",FALSE
"By declaring that Pluto was no longer a planet, the (International Astronomical Union) put into place a planetary definition that would have even declassified Earth as a planet if it existed as far from the sun as Pluto does.",TRUE
The president came in and campaigned against me 12 times.,FALSE
"I was appointed U.S. attorney by President Bush on Sept. 10, 2001.",FALSE
"Says there are probably 2 million, it could be even 3 million criminal immigrants in the country illegally.",TRUE
Says President Barack Obama released a statement on the death of brother Robin Williams before ... a statement on brother Michael Brown.,TRUE
I became a Republican sooner in my life than Ronald Reagan did in his.,TRUE
(Pete) Sessions has held at least two fundraisers at adult-themed clubs and made no apologies.,TRUE
"The most popular name is no longer John or Steven. Its Jose, Camilo and Maria.",FALSE
"Says the governor took away a billion dollars of rebates, so in real dollars, our property taxes have gone up 20 percent.",TRUE
"English ""is our national language...if it becomes official, that means in a place like New York City you can't print ballots in any other language.""",FALSE
"When a Gallup poll asked about presidential candidate characteristics, When they get to the question on, Would you vote for a socialist, it is even less popular than voting for atheists.",TRUE
"Says in Chicago, we take more guns off the streets than New York or L.A.",TRUE
"Under Randi Shade, Austin has had the highest cost of living of any large Texas city.",FALSE
"Says that under the new healthcare law, full- and part-time workers will be required to buy insurance costing $375 to $1,000 a month, starting in 2014.",TRUE
Newt Gingrich has suggested building a mirror system in space could improve the Earths habitability.,TRUE
"By allowing brewpubs to sell beer, Georgia could become like Mexico with only a couple of manufacturers controlling all aspects of market.",FALSE
Says Did you know that if you accepted the Districts proposal today you would have NO pay increase for 4 years? Seven years of frozen wages = Disrespect.,FALSE
"Says a car driving former University of Missouri System President Tim Wolfe ran through the students, hit one of them at the MU Homecoming Parade.",FALSE
Today we stand as the highest-performing urban school district in America.,TRUE
"The CBO found that the House Republican health care plan would lower premiums by ""up to about 10 percent"" and, for purchasers in the individual market, ""those cost savings could even be higher.""",TRUE
